typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"C","A","19960101","1996","52","1996","608","PHL","Philippines","M","Import","0","W00","World","0","W00","World","H0","HS","true","1006","Rice","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","866948992","false","-1","N/A",,"false","866948992","false",,"false","308945408",,"308945408","0","true","false",
"C","A","19960101","1996","52","1996","608","PHL","Philippines","X","Export","0","W00","World","0","W00","World","H0","HS","true","1006","Rice","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","347","false","-1","N/A",,"false","347","false",,"false",,"182","182","0","true","false",
"C","A","19970101","1997","52","1997","608","PHL","Philippines","M","Import","0","W00","World","0","W00","World","H0","HS","true","1006","Rice","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","724901504","false","-1","N/A",,"false","724901504","false",,"false","230036768",,"230036768","0","true","false",
"C","A","19970101","1997","52","1997","608","PHL","Philippines","X","Export","0","W00","World","0","W00","World","H0","HS","true","1006","Rice","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","2775","false","-1","N/A",,"false","2775","false",,"false",,"1710","1710","0","true","false",
"C","A","19980101","1998","52","1998","608","PHL","Philippines","M","Import","0","W00","World","0","W00","World","H0","HS","true","1006","Rice","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","2178135296","false","-1","N/A",,"false","2178135296","false",,"false","646610176",,"646610176","0","true","false",
"C","A","19980101","1998","52","1998","608","PHL","Philippines","X","Export","0","W00","World","0","W00","World","H0","HS","true","1006","Rice","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","44253","false","-1","N/A",,"false","44253","false",,"false",,"31560","31560","0","true","false",
"C","A","19990101","1999","52","1999","608","PHL","Philippines","M","Import","0","W00","World","0","W00","World","H0","HS","true","1006","Rice","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","838070784","false","-1","N/A",,"false","838070784","false",,"false","239932752",,"239932752","0","true","false",
"C","A","19990101","1999","52","1999","608","PHL","Philippines","X","Export","0","W00","World","0","W00","World","H0","HS","true","1006","Rice","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","324437","false","-1","N/A",,"false","324437","false",,"false",,"148431","148431","0","true","false",
"C","A","20000101","2000","52","2000","608","PHL","Philippines","M","Import","0","W00","World","0","W00","World","H1","HS","true","1006","Rice","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","642293669","false","-1","N/A",,"false","642293669","false",,"false","135611448",,"135611448","0","false","false",
"C","A","20000101","2000","52","2000","608","PHL","Philippines","X","Export","0","W00","World","0","W00","World","H1","HS","true","1006","Rice","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","223871","false","-1","N/A",,"false","223871","false",,"false",,"114858","114858","0","false","false",
"C","A","20010101","2001","52","2001","608","PHL","Philippines","M","Import","0","W00","World","0","W00","World","H1","HS","true","1006","Rice","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","810903340","false","-1","N/A",,"false","810903340","false",,"false","153130335",,"153130335","0","false","false",
"C","A","20010101","2001","52","2001","608","PHL","Philippines","X","Export","0","W00","World","0","W00","World","H1","HS","true","1006","Rice","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","12871","false","-1","N/A",,"false","12871","false",,"false",,"22960","22960","0","false","false",
